# BEADS_RUST conformance cases: name<TAB>argv (JSON string array)
# Every case runs in the ws-run sandbox (scripts/ws-run.sh --help): a fresh workspace at /mnt/proj, a pinned
# instant, a cleared environment. Leading pseudo-arguments select the inputs:
#   @fx=<name>    goldens/fixtures/<name>.jsonl becomes .beads/issues.jsonl (default: empty; `none` = no .beads at all)
#   @time=<UTC>   the pinned instant (default 2026-01-02 03:04:05)
#   @scn=<name>   a multi-step scenario, goldens/scenarios/<name>.scn
# When a run changes the store, `--- .beads/issues.jsonl ---` (and last-touched) follow the command's stdout.
# Capture:  scripts/golden-capture.sh goldens/cases.tsv goldens --timeout 60 -- scripts/ws-run.sh --oracle br --no-db ::
# Floor:    scripts/floor.sh goldens/cases.tsv goldens --repeat 3 -- scripts/ws-run.sh --oracle br --no-db ::
# Check:    LANE_WRAP=scripts/ws-run.sh scripts/lanes.sh goldens/cases.tsv goldens "$PWD/port/main.bend"
usage_none	[]
r10_n984_list_title_contains	["@fx=n984","list","--title-contains","Issue 98","--sort","title"]
r10_n984_search_limit	["@fx=n984","search","Issue 1","--limit","5","--offset","2"]
r10_n984_ready_limit	["@fx=n984","ready","--limit","8"]
r10_n984_ready_json_oldest	["@fx=n984","ready","--sort","oldest","--limit","3","--json"]
r10_n984_blocked	["@fx=n984","blocked"]
r10_n984_count_by_status	["@fx=n984","count","--by-status"]
r10_n984_count_title_json	["@fx=n984","count","--title-contains","Issue 9","--json"]
r10_n984_stats	["@fx=n984","stats"]
r10_n984_show_short	["@fx=n984","show","00qm"]
r10_n984_label_list_all	["@fx=n984","label","list-all"]
r10_n984_list_pretty_limit	["@fx=n984","list","--pretty","--limit","4"]
r10_tree_dep_tree_up	["@fx=tree","dep","tree","proj-abk.10.1","--direction","up"]
r10_tree_dep_tree_down	["@fx=tree","dep","tree","proj-abk"]
r10_tree_dep_list_up	["@fx=tree","dep","list","proj-abk","--direction","up"]
r10_tree_epic_status	["@fx=tree","epic","status"]
r10_tree_epic_status_json	["@fx=tree","epic","status","--json"]
r10_tree_show_root	["@fx=tree","show","proj-abk"]
r10_tree_ready_priority	["@fx=tree","ready","--sort","priority"]
r10_tree_list_tree_json_limit	["@fx=tree","list","--tree","--json","--limit","4"]
r10_tree_count_by_priority	["@fx=tree","count","--by-priority"]
r10_tree_list_long_sort_title	["@fx=tree","list","--long","--sort","title","--limit","5"]
r10_parents_blocked_json	["@fx=parents","blocked","--json"]
r10_parents_stats_json	["@fx=parents","stats","--json"]
r10_parents_dep_tree_both	["@fx=parents","dep","tree","proj-9vo.3","--direction","both"]
r10_due_list_all_sort_updated	["@fx=due","list","--all","--sort","updated"]
r10_due_show_json	["@fx=due","@time=2026-06-01 00:00:00","show","proj-j1m","proj-84a","--json"]
r10_due_stats	["@fx=due","stats"]
r10_due_count_by_status_all	["@fx=due","count","--by-status","--include-closed"]
r10_tree_dep_tree_root_up	["@fx=tree","dep","tree","proj-abk","--direction","up"]
r10_tree_dep_tree_grand_down	["@fx=tree","dep","tree","proj-abk.10.1"]
stdin_comments_add	["@fx=basic","comments","add","proj-b75","-f","-","--json"]	goldens/stdin/two_lines.txt
stdin_comments_add_empty	["@fx=basic","comments","add","proj-b75","-f","-"]	-
stdin_update_description	["@fx=basic","update","proj-b75","--description-file","-","--force"]	goldens/stdin/two_lines.txt
stdin_create_description	["@fx=basic","create","T","--description-file","-","--json"]	goldens/stdin/two_lines.txt
stdin_delete_from_file_dash	["@fx=basic","delete","--from-file","-","--force"]	goldens/stdin/two_lines.txt
actor_flag_empty	["create", "X", "--actor", "", "--json"]
create_slug	["create", "Slugged", "--slug", "My Thing!", "--json"]
create_slug_empty	["create", "X", "--slug", "!!!", "--json"]
create_slug_long	["create", "X", "--slug", "abcdefghij-abcdefghij-abcdefghij-abcdefghij-abcdefghij-xyz", "--json"]
show_uppercase_id	["@fx=basic", "show", "PROJ-MTA"]
error_show_wrong_prefix	["@fx=basic", "show", "xx-mta"]
error_show_blank_id	["@fx=basic", "show", "  "]
defer_until_rfc3339	["@fx=basic", "defer", "proj-mta", "--until", "2027-06-01T12:00:00+02:00"]
defer_until_tomorrow	["@fx=basic", "defer", "proj-mta", "--until", "tomorrow", "--json"]
error_create_bad_due	["create", "X", "--due", "not-a-date"]
error_create_negative_estimate	["create", "X", "-e", "-1"]
error_create_huge_estimate	["create", "X", "-e", "99999999999"]
list_priority_range	["@fx=basic", "list", "-p", "0-1", "--json"]
list_priority_list	["@fx=basic", "list", "-p", "0,2"]
list_priority_backwards	["@fx=basic", "list", "-p", "3-1"]
list_priority_p9	["@fx=basic", "list", "-p", "P9"]
error_create_priority_word	["create", "X", "-p", "high"]
ready_filtered_empty	["@fx=basic", "ready", "-t", "epic"]
list_desc_contains_unicode	["@fx=basic", "list", "--desc-contains", "LINE ONE"]
close_partial_skip	["@fx=basic", "close", "proj-mkh", "proj-mta"]
update_status_same	["@fx=basic", "update", "proj-mta", "--status", "open"]
update_reparent	["@fx=basic", "update", "proj-170", "--parent", "proj-b75", "--json"]
close_suggest_next_plain	["@fx=basic", "close", "proj-mta", "--suggest-next"]
close_mixed	["@fx=basic", "close", "proj-170", "proj-mta"]
create_silent_quiet	["create", "X", "--silent", "--quiet"]
update_quiet	["@fx=basic", "update", "proj-mta", "-p", "0", "--quiet"]
list_limit_plain	["@fx=basic", "list", "--limit", "2"]
search_limit	["@fx=basic", "search", "a", "--limit", "1"]
search_hidden_closed	["@fx=basic", "search", "work"]
defer_until_plain	["@fx=basic", "defer", "proj-mta", "--until", "2027-06-01"]
undefer_plain	["@fx=basic", "undefer", "proj-7vm"]
label_rename_plain	["@fx=basic", "label", "rename", "db", "database"]
update_title_plain	["@fx=basic", "update", "proj-mta", "--title", "New title"]
update_noop_plain	["@fx=basic", "update", "proj-mta"]
label_list_empty	["@fx=basic", "label", "list", "proj-ptp"]
show_deferred_plain	["@fx=basic", "show", "proj-7vm"]
blocked_limit	["@fx=basic", "blocked", "--limit", "1"]
usage_similar_lon	["list", "--lon"]
ready_assignee_bare	["@fx=basic", "ready", "--assignee"]
ready_assignee_empty	["@fx=basic", "ready", "--assignee", ""]
list_status_bad_json	["@fx=basic", "list", "--status", "bogus", "--json"]
list_sort_bad_json	["@fx=basic", "list", "--sort", "nonsense", "--json"]
count_by_two	["@fx=basic", "count", "--by-status", "--by-type"]
count_by_two_json	["@fx=basic", "count", "--by-status", "--by-type", "--json"]
show_two_second_missing	["@fx=basic", "show", "proj-mta", "proj-zzz"]
usage_show_alone_json	["@fx=basic", "show", "--json"]
error_dep_add_type_near	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "bloks"]
scn_child_after_delete	["@scn=child_after_delete"]
scn_list_status_all	["@scn=list_status_all"]
scn_epic_status_deferred	["@scn=epic_status_deferred"]
scn_comments_first	["@scn=comments_first"]
scn_ready_all_blocked	["@scn=ready_all_blocked"]
label_add_id_shaped	["@fx=basic", "label", "add", "proj-mta", "needs-review"]
scn_parent_blocked	["@scn=parent_blocked"]
scn_dep_tree_shapes	["@scn=dep_tree_shapes"]
scn_dep_list_order	["@scn=dep_list_order"]
scn_blocked_tiebreak	["@scn=blocked_tiebreak"]
scn_title_fold	["@scn=title_fold"]
scn_child_export_order	["@scn=child_export_order"]
scn_lead_times	["@scn=lead_times"]
scn_external_blocker	["@scn=external_blocker"]
scn_long_texts	["@scn=long_texts"]
create_agent_context	["create", "X", "--agent-context", "{\"b\": 1, \"a\": [true, null, \"x\", 1.50, -0, 1e3, 12345678901234567890], \"c\": {\"z\": \"é\\u00e9\", \"y\": 2.0}}", "--json"]
error_create_agent_context	["create", "X", "--agent-context", "{not json"]
error_create_agent_context_json	["create", "X", "--agent-context", "{not json", "--json"]
create_agent_context_empty	["create", "X", "--agent-context", "", "--json"]
create_agent_context_scalar	["create", "X", "--agent-context", "42", "--json"]
update_agent_context	["@fx=basic", "update", "proj-mta", "--agent-context", "{\"k\":\"v\",\"a\":1}", "--json"]
dep_add_metadata	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "--metadata", "{\"b\": 1, \"a\": 2.50}", "--json"]
error_dep_add_metadata_bad	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "--metadata", "{bad"]
dep_add_metadata_blank	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "--metadata", "  "]
stdin_create_file	["create", "-f", "-"]	goldens/stdin/plan.md
stdin_create_file_json	["create", "-f", "-", "--json"]	goldens/stdin/plan.md
error_create_file_with_title	["create", "X", "-f", "-"]	goldens/stdin/plan.md
error_create_file_missing	["create", "-f", "nope.md"]
create_file_empty	["create", "-f", "/dev/null", "--json"]
scn_external_json	["@scn=external_json"]
scn_long_comment	["@scn=long_comment"]
error_conflict_markers_many	["@fx=conflict_many", "list"]
error_jsonl_bom	["@fx=bom", "list"]
error_jsonl_bom_json	["@fx=bom", "list", "--json"]
edge_precision_micros	["@fx=micros", "list", "--json"]
edge_precision_micros_rewrite	["@fx=micros", "update", "proj-aab", "-p", "1"]
error_jsonl_duplicate_id	["@fx=dup_id", "list"]
error_jsonl_duplicate_id_show	["@fx=dup_id", "show", "proj-aaa"]
edge_status_spellings	["@fx=status_spellings", "list", "--all", "--json"]
edge_status_spellings_rewrite	["@fx=status_spellings", "update", "proj-aae", "-p", "1"]
error_jsonl_missing_title	["@fx=missing_title", "list"]
error_jsonl_bad_id_format	["@fx=bad_id", "list"]
edge_sparse_dependency_rewrite	["@fx=sparse_dep", "update", "proj-aaa", "-p", "1"]
list_template_hidden	["@fx=template", "list", "--json"]
ready_template_hidden	["@fx=template", "ready"]
count_templates	["@fx=template", "count"]
count_include_templates	["@fx=template", "count", "--include-templates"]
edge_empty_optionals_rewrite	["@fx=empty_optionals", "update", "proj-aab", "-p", "1"]
list_status_custom	["@fx=custom_status", "list", "--status", "Triage", "--json"]
list_status_custom_lower	["@fx=custom_status", "list", "--status", "triage"]
edge_time_spellings	["@fx=timespell", "list", "--json"]
edge_time_spellings_ok	["@fx=timeok", "list", "--json"]
error_store_not_utf8	["@fx=notutf8", "list"]
error_store_not_utf8_json	["@fx=notutf8", "list", "--json"]
edge_empty_optionals_list	["@fx=empty_optionals", "list"]
edge_empty_optionals_list_json	["@fx=empty_optionals", "list", "--json"]
edge_empty_optionals_show	["@fx=empty_optionals", "show", "proj-aaa", "--json"]
edge_empty_optionals_rewrite_json	["@fx=empty_optionals", "update", "proj-aab", "-p", "1", "--json"]
edge_empty_source_repo	["@fx=empty_source_repo", "list"]
error_load_title_blank	["@fx=v_title_blank", "list"]
error_load_title_long	["@fx=v_title_long", "list"]
error_load_id_empty	["@fx=v_id_empty", "list"]
error_load_id_long	["@fx=v_id_long", "list"]
error_load_id_trailing	["@fx=v_id_trailing", "list"]
error_load_id_leading	["@fx=v_id_leading", "list"]
error_load_id_upper	["@fx=v_id_upper", "list"]
error_load_id_underscore	["@fx=v_id_underscore", "list"]
error_load_id_space	["@fx=v_id_space", "list"]
error_load_id_child_word	["@fx=v_id_child_word", "list"]
error_load_priority	["@fx=v_priority", "list"]
error_load_estimate_neg	["@fx=v_estimate_neg", "list"]
error_load_estimate_big	["@fx=v_estimate_big", "list"]
error_load_closed_before	["@fx=v_closed_before", "list"]
error_load_assignee_long	["@fx=v_assignee_long", "list"]
error_load_extref_space	["@fx=v_extref_space", "list"]
error_load_extref_long	["@fx=v_extref_long", "list"]
error_load_nul_title	["@fx=v_nul_title", "list"]
error_load_status_long	["@fx=v_status_long", "list"]
error_load_labels_many	["@fx=v_labels_many", "list"]
error_load_label_bad	["@fx=v_label_bad", "list"]
error_load_two_rules	["@fx=v_two_rules", "list"]
error_load_two_rules_json	["@fx=v_two_rules", "list", "--json"]
error_load_id_upper_show	["@fx=v_id_upper", "show", "proj-aaa"]
error_load_all_a	["@fx=v_all_a", "list"]
error_load_all_b	["@fx=v_all_b", "list"]
error_load_bad_id_show	["@fx=bad_id", "show", "proj-aaa"]
error_load_empty_optionals_dup	["@fx=dup_id", "count"]
edge_load_id_hash8	["@fx=v_hash8", "count"]
edge_load_id_hash9	["@fx=v_hash9", "count"]
edge_load_id_hash12	["@fx=v_hash12", "count"]
edge_load_id_hash16	["@fx=v_hash16", "count"]
edge_load_id_hash17	["@fx=v_hash17", "count"]
edge_load_id_hash32	["@fx=v_hash32", "count"]
edge_load_id_hash33	["@fx=v_hash33", "count"]
edge_load_id_hash64	["@fx=v_hash64", "count"]
edge_load_id_hash65	["@fx=v_hash65", "count"]
edge_load_id_hash100	["@fx=v_hash100", "count"]
edge_load_id_slug_segments	["@fx=v_slug_segments", "count"]
edge_load_id_prefix_long	["@fx=v_prefix_long", "count"]
edge_load_id_many_hyphens	["@fx=v_many_hyphens", "count"]
edge_load_id_digits_prefix	["@fx=v_digits_prefix", "count"]
edge_load_id_hash40	["@fx=v_hash40", "count"]
edge_load_id_hash48	["@fx=v_hash48", "count"]
edge_load_id_hash49	["@fx=v_hash49", "count"]
edge_load_id_hash50	["@fx=v_hash50", "count"]
edge_load_id_hash51	["@fx=v_hash51", "count"]
edge_load_id_hash52	["@fx=v_hash52", "count"]
edge_load_id_hash56	["@fx=v_hash56", "count"]
edge_load_id_hash60	["@fx=v_hash60", "count"]
edge_load_id_hash63	["@fx=v_hash63", "count"]
edge_load_id_mid_long	["@fx=v_mid_long", "count"]
edge_load_id_last_long	["@fx=v_last_long", "count"]
edge_load_id_slug57	["@fx=v_slug57", "count"]
edge_load_id_slug_child	["@fx=v_slug_child", "count"]
edge_load_id_hash41	["@fx=v_hash41", "count"]
edge_load_id_hash42	["@fx=v_hash42", "count"]
edge_load_id_hash43	["@fx=v_hash43", "count"]
edge_load_id_hash44	["@fx=v_hash44", "count"]
edge_load_id_hash45	["@fx=v_hash45", "count"]
edge_load_id_hash46	["@fx=v_hash46", "count"]
edge_load_id_hash47	["@fx=v_hash47", "count"]
edge_load_id_head64	["@fx=v_head64", "count"]
edge_load_id_head65	["@fx=v_head65", "count"]
edge_load_id_head80	["@fx=v_head80", "count"]
edge_load_id_head100	["@fx=v_head100", "count"]
edge_load_id_hyphens11	["@fx=v_hyphens11", "count"]
edge_idlen_tombstones	["@fx=n163_tomb", "create", "New", "--silent"]
edge_id_collides_with_tombstone	["@fx=tomb_collide", "create", "X", "--json"]
list_desc_contains_nonascii	["@fx=unicode_desc", "list", "--desc-contains", "école"]
list_title_contains_nonascii	["@fx=unicode_desc", "list", "--title-contains", "ärger"]
search_nonascii	["@fx=unicode_desc", "search", "ärger"]
error_show_nonascii_id	["@fx=basic", "show", "PROJ-MTÄ"]
error_create_empty_prefix	["@fx=cfg_empty_prefix", "create", "X"]
dep_add_type_parent_child	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "Parent_Child"]
dep_add_type_paren	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "paren"]
dep_add_type_relate	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "relate"]
dep_add_type_dup	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "dup"]
dep_add_type_waits	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "waits"]
dep_add_type_blocks	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "BLOCKS"]
dep_add_type_block	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "block"]
dep_add_type_blcks	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "blcks"]
dep_add_type_xyz	["@fx=basic", "dep", "add", "proj-ptp", "proj-mta", "-t", "xyz"]
error_jsonl_trailing_comma	["@fx=j_trailing_comma", "list"]
error_jsonl_colon	["@fx=j_colon", "list"]
error_jsonl_comma	["@fx=j_comma", "list"]
error_jsonl_key	["@fx=j_key", "list"]
error_jsonl_ident	["@fx=j_ident", "list"]
error_jsonl_escape	["@fx=j_escape", "list"]
error_jsonl_ctrl	["@fx=j_ctrl", "list"]
error_jsonl_trailing	["@fx=j_trailing", "list"]
error_jsonl_array	["@fx=j_array", "list"]
error_jsonl_int_id	["@fx=j_int_id", "list"]
error_jsonl_prio_word	["@fx=j_prio_word", "list"]
error_jsonl_surrogate	["@fx=j_surrogate", "list"]
error_jsonl_eof_object	["@fx=j_eof_object", "list"]
scn_blocked_count_first	["@scn=blocked_count_first"]
scn_lead_time_half	["@scn=lead_time_half"]
scn_lead_time_third	["@scn=lead_time_third"]
error_jsonl_type_created_int	["@fx=t_created_int", "list"]
error_jsonl_type_created_word	["@fx=t_created_word", "list"]
error_jsonl_type_labels_str	["@fx=t_labels_str", "list"]
error_jsonl_type_labels_int	["@fx=t_labels_int", "list"]
error_jsonl_type_ephemeral_str	["@fx=t_ephemeral_str", "list"]
error_jsonl_type_deps_int	["@fx=t_deps_int", "list"]
error_jsonl_type_comments_obj	["@fx=t_comments_obj", "list"]
error_jsonl_type_priority_float	["@fx=t_priority_float", "list"]
error_jsonl_type_priority_null	["@fx=t_priority_null", "list"]
error_jsonl_type_desc_int	["@fx=t_desc_int", "list"]
error_jsonl_type_desc_bool	["@fx=t_desc_bool", "list"]
error_jsonl_type_estimate_str	["@fx=t_estimate_str", "list"]
error_jsonl_type_id_null	["@fx=t_id_null", "list"]
error_jsonl_type_title_arr	["@fx=t_title_arr", "list"]
error_jsonl_type_title_obj	["@fx=t_title_obj", "list"]
error_jsonl_type_priority_big	["@fx=t_priority_big", "list"]
error_jsonl_type_priority_neg_float	["@fx=t_priority_neg_float", "list"]
error_jsonl_type_dep_bad_member	["@fx=t_dep_bad_member", "list"]
error_jsonl_type_comment_bad	["@fx=t_comment_bad", "list"]
error_jsonl_type_status_int	["@fx=t_status_int", "list"]
error_jsonl_ts_short	["@fx=ts_short", "list"]
error_jsonl_ts_month	["@fx=ts_month", "list"]
error_jsonl_ts_trail	["@fx=ts_trail", "list"]
error_jsonl_ts_feb30	["@fx=ts_feb30", "list"]
error_jsonl_ts_nozone	["@fx=ts_nozone", "list"]
error_jsonl_ts_hour	["@fx=ts_hour", "list"]
error_jsonl_ts_empty	["@fx=ts_empty", "list"]
error_jsonl_ts_slash	["@fx=ts_slash", "list"]
edge_load_id_prefix_underscore	["@fx=v_prefix_underscore", "count"]
edge_load_id_prefix_real	["@fx=v_prefix_real", "count"]
edge_load_id_prefix_upper	["@fx=v_prefix_upper", "count"]
edge_load_id_prefix_dot	["@fx=v_prefix_dot", "count"]
edge_load_id_prefix_underscore_lead	["@fx=v_prefix_underscore_lead", "count"]
edge_load_id_hash_underscore_prefix	["@fx=v_hash_underscore_prefix", "count"]
edge_load_id_prefix_underscore_child	["@fx=v_prefix_underscore_child", "count"]
edge_load_id_prefix_digits_underscore	["@fx=v_prefix_digits_underscore", "count"]
error_load_dep_dangling	["@fx=dep_dangling", "count"]
error_load_dep_dangling_json	["@fx=dep_dangling", "count", "--json"]
error_load_dep_dangling_related	["@fx=dep_dangling_related", "list"]
error_load_dep_dangling_empty	["@fx=dep_dangling_empty", "count"]
edge_load_dep_external	["@fx=dep_external_ok", "count"]
edge_load_dep_dangling_show	["@fx=dep_dangling", "show", "proj-a1"]
error_load_dep_self	["@fx=dep_self", "count"]
error_load_dep_self_json	["@fx=dep_self", "count", "--json"]
edge_load_dep_self_show	["@fx=dep_self", "show", "proj-a1"]
error_load_dep_issue_id	["@fx=dep_issue_id_other", "count"]
error_load_dep_issue_id_json	["@fx=dep_issue_id_other", "count", "--json"]
error_load_dep_other_then_self	["@fx=dep_other_then_self", "list"]
error_load_dep_dangling_then_self	["@fx=dep_dangling_then_self", "count"]
show_dep_missing	["@fx=dep_missing_mixed", "show", "proj-a1"]
show_dep_missing_json	["@fx=dep_missing_mixed", "show", "proj-a1", "--json"]
stats_lead_subsecond	["@fx=lead_subsecond", "stats", "--json"]
r12_load_dangle_self	["@fx=r12_dep_dangle_self", "count"]
r12_load_self_other_json	["@fx=r12_dep_self_other", "count", "--json"]
r12_load_dangle_then_other	["@fx=r12_dep_dangle_then_other", "list"]
r12_load_self_related	["@fx=r12_dep_self_related", "count"]
r12_load_dangle_both_json	["@fx=r12_dep_dangle_both", "blocked", "--json"]
r12_load_dangle_tombstone	["@fx=r12_dep_dangle_closed_tomb", "stats"]
r12_load_dangle_custom	["@fx=r12_dep_dangle_custom", "ready"]
r12_dep_tomb_target_ready_json	["@fx=r12_dep_tomb_target", "ready", "--json"]
r12_dep_tomb_target_show_json	["@fx=r12_dep_tomb_target", "show", "proj-a1", "--json"]
r12_ext_types_blocked_json	["@fx=r12_dep_ext_types", "blocked", "--json"]
r12_ext_types_ready	["@fx=r12_dep_ext_types", "ready"]
r12_ext_pc_load_json	["@fx=r12_dep_ext_pc", "count", "--json"]
r12_ext_pc_then_self	["@fx=r12_dep_ext_pc_then_self", "list"]
r12_ext_pc_show_json	["@fx=r12_dep_ext_pc", "show", "proj-a1", "--json"]
r12_ext_names_show	["@fx=r12_dep_ext_mixed_names", "show", "proj-a1"]
r12_ext_names_blocked	["@fx=r12_dep_ext_mixed_names", "blocked"]
r12_show_mix	["@fx=r12_show_mix", "show", "proj-a1"]
r12_show_mix_json	["@fx=r12_show_mix", "show", "proj-a1", "--json"]
r12_show_mix_list_json	["@fx=r12_show_mix", "list", "--json"]
r12_propagate_blocked	["@fx=r12_propagate", "blocked"]
r12_propagate_blocked_detailed	["@fx=r12_propagate", "blocked", "--detailed"]
r12_propagate_ready_json	["@fx=r12_propagate", "ready", "--json"]
r12_propagate_stats_json	["@fx=r12_propagate", "stats", "--json"]
r12_diamond_blocked_json	["@fx=r12_diamond", "blocked", "--json"]
r12_epics_stats	["@fx=r12_epics", "stats"]
r12_epics_blocked_json	["@fx=r12_epics", "blocked", "--json"]
r12_lead_edges_stats_json	["@fx=r12_lead_edges", "stats", "--json"]
r12_lead_micro_nano_json	["@fx=r12_lead_micro_nano", "stats", "--json"]
r12_lead_offset_before	["@fx=r12_lead_offset_before", "stats"]
r12_lead_frac_before_json	["@fx=r12_lead_frac_before", "stats", "--json"]
r12_lead_days_stats	["@fx=r12_lead_days", "stats"]
r12_dep_to_ephemeral_count	["@fx=r12_dep_to_ephemeral", "count"]
r12_dep_to_ephemeral_show	["@fx=r12_dep_to_ephemeral", "show", "proj-a1"]
r12_dep_from_ephemeral_count	["@fx=r12_dep_from_ephemeral", "count"]
r12_dep_to_template_blocked	["@fx=r12_dep_to_template", "blocked"]
edge_nostore_list	["@fx=nostore", "list"]
edge_nostore_count_json	["@fx=nostore", "count", "--json"]
edge_nostore_where	["@fx=nostore", "where"]
edge_nostore_create	["@fx=nostore", "create", "X"]
where_from_subdir	["@fx=basic", "@cwd=sub/dir", "where"]
list_from_subdir	["@fx=basic", "@cwd=sub", "list"]
create_from_subdir	["@fx=basic", "@cwd=sub", "create", "X"]
ls_read_list	["@ls", "@fx=basic", "list"]
ls_read_show	["@ls", "@fx=basic", "show", "proj-mta"]
ls_nostore_list	["@ls", "@fx=nostore", "list"]
env_output_format_count	["@env=BR_OUTPUT_FORMAT=json", "count"]
env_output_format_where	["@env=BR_OUTPUT_FORMAT=json", "@fx=basic", "where"]
env_output_format_error	["@env=BR_OUTPUT_FORMAT=json", "@fx=basic", "show", "proj-zzz"]
usage_limit_bad_env_json	["@env=BR_OUTPUT_FORMAT=json", "list", "--limit", "x"]
env_beads_dir_where	["@env=BEADS_DIR=/mnt/proj/.beads", "@fx=basic", "@cwd=sub", "where"]
env_beads_dir_list	["@env=BEADS_DIR=/mnt/proj/.beads", "@fx=basic", "@cwd=sub", "list"]
env_beads_dir_missing	["@env=BEADS_DIR=/mnt/other/.beads", "@fx=basic", "list"]
env_serial_export	["@env=BR_DISABLE_PARALLEL_JSONL_EXPORT=1", "@fx=large", "update", "proj-x000", "--priority", "1"]
create_file_md	["@file=plan.md", "create", "-f", "plan.md"]
create_file_md_json	["@file=plan.md", "create", "-f", "plan.md", "--json"]
create_file_md_edges	["@file=md_edges.md", "create", "-f", "md_edges.md"]
create_file_md_rules	["@file=md_probe2.md", "create", "-f", "md_probe2.md", "--json"]
create_file_md_one	["@file=md_one.md", "@fx=basic", "create", "-f", "md_one.md"]
create_file_md_parent	["@file=md_parent.md", "create", "-f", "md_parent.md"]
create_file_md_parent_json	["@file=md_parent.md", "create", "-f", "md_parent.md", "--json"]
create_file_md_parent_store	["@file=md_parent_store.md", "@fx=basic", "create", "-f", "md_parent_store.md"]
create_file_md_deps	["@file=md_deps.md", "@fx=basic", "create", "-f", "md_deps.md"]
create_file_md_deps_json	["@file=md_deps.md", "@fx=basic", "create", "-f", "md_deps.md", "--json"]
create_file_md_cycle	["@file=md_cycle.md", "create", "-f", "md_cycle.md"]
create_file_md_cycle3	["@file=md_cycle3.md", "create", "-f", "md_cycle3.md"]
create_file_md_mixed	["@file=md_sections.md", "create", "-f", "md_sections.md"]
# bb-rvt (2026-09-24): long texts on the JS lane; OQ-136: the import's metadata rule, the metadata error's position and quoting
error_load_dep_meta_count	["@fx=dep_meta_bad", "count"]
error_load_dep_meta_list_json	["@fx=dep_meta_bad", "list", "--json"]
edge_load_dep_meta_show	["@fx=dep_meta_bad", "show", "proj-a1"]
error_load_dep_meta_update	["@fx=dep_meta_bad", "update", "proj-b1", "--priority", "1"]
error_load_dep_meta_before_self	["@fx=dep_meta_order", "ready"]
error_load_dep_meta_before_ext	["@fx=dep_meta_ext", "blocked", "--json"]
error_load_dep_meta_lines	["@fx=dep_meta_lines", "stats"]
error_load_dep_meta_lines_json	["@fx=dep_meta_lines", "dep", "list", "proj-a1", "--json"]
error_load_u_escape_bad	["@fx=u_escape_bad", "count"]
error_dep_add_metadata_lines	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta", "--metadata", "{\n x"]
error_dep_add_metadata_escape	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta", "--metadata", "\"\\u00zz\""]
error_dep_add_metadata_quoting	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta", "--metadata", "é\t\u0001​ \\\""]
show_long_texts	["@fx=long_texts", "show", "proj-a1"]
search_long_texts	["@fx=long_texts", "search", "word3"]
comments_long_texts	["@fx=long_texts", "comments", "list", "proj-a1"]
comments_trailing_ws	["@fx=comment_trailing_ws", "comments", "list", "proj-a1"]
show_comment_trailing_ws	["@fx=comment_trailing_ws", "show", "proj-a1"]
error_load_dep_meta_stray	["@fx=dep_meta_stray", "count"]
error_dep_add_metadata_prefix	["@fx=basic", "dep", "add", "proj-5u2", "proj-mta", "--metadata", "tru"]
# OQ-042, OQ-074, OQ-081, OQ-129 (2026-09-24): stores holding a dependency cycle (hand-written: a git merge reaches them, dep add never does)
dep_cycles_found	["@fx=cycle_three", "dep", "cycles"]
dep_cycles_found_json	["@fx=cycle_three", "dep", "cycles", "--json"]
dep_cycles_real	["@fx=cycle_three", "dep", "cycles", "--blocking-only"]
dep_cycles_real_json	["@fx=cycle_three", "dep", "cycles", "--quiet", "--json"]
dep_cycles_found_quiet	["@fx=cycle_three", "dep", "cycles", "-q"]
edge_dep_cycles_two	["@fx=cycle_two", "dep", "cycles"]
edge_dep_cycles_two_json	["@fx=cycle_two", "dep", "cycles", "--json", "--include-closed"]
dep_cycles_shared_json	["@fx=cycle_shared", "dep", "cycles", "--json"]
dep_cycles_dfs_path	["@fx=cycle_dfs_path", "dep", "cycles"]
dep_cycles_dfs_backtrack_json	["@fx=cycle_dfs_backtrack", "dep", "cycles", "--json"]
dep_cycles_outside_neighbour	["@fx=cycle_outside_neighbour", "dep", "cycles"]
dep_cycles_closed_and_open	["@fx=cycle_closed_and_open", "dep", "cycles"]
dep_cycles_closed_and_open_json	["@fx=cycle_closed_and_open", "dep", "cycles", "--json"]
edge_dep_cycles_include_closed	["@fx=cycle_closed_and_open", "dep", "cycles", "--json", "--include-closed"]
